Committers,,,,,
ffantato,,,,,
dbarboza,,,,,
oferranti,,,,,
ecloninger,,,,,

Developer Contributions,,,,,
component (CVS directory),bug #,contributor name,size (lines),committer,description
org.eclipse.tml.framework.device.ui,247085,Julia Perdigueiro(Eldorado),48,ffantato,Instance manage view buttons are resizing after applying services filter
org.eclipse.tml.protocol,246916,Daniel Franco(eldorado),81,dbarboza,Add the correct Number objects to ProtocolMessage objects on reading from input stream
org.eclipse.tml.framework.device.ui,247288,Julia Perdigueiro(eldorado),43,dbarboza,Exceptions after Instance Mgt View is closed
org.eclipse.tml.protocol/*,233121,Daniel Franco(Eldorado),37,dbarboza,There is no support for proxies when connecting the protocol
org.eclipse.tml.vnc.*,243167,Daniel Franco(Eldorado),1200,dbarboza,Zoom mechanism not working properly 
org.eclipse.tml.vnc.protocol.*,247973,Leo Andrade(Eldorado),1,ffantato,Listener to key events is not working at SWTRemoteDisplay
org.eclipse.tml.device.*,246585,Daniel Franco (eldorado),121,dbarboza,VncViewerService is not working anymore after changes made in ProtocolHandle
"org.eclipse.tml.device.*,248036,Daniel Franco(eldorado),8,dbarboza,New Icons for ""New Instance"" and ""Filter services"" on Device View"
org.eclipse.tml.vncviewer.*,248037,Daniel Franco(eldorado),45,dbarboza,Action for stop connection on VNC Viewer
org.eclipse.tml.device.*,221739,Daniel Franco(Eldorado),197,dbarboza, Improvements to State machine implementation
org.eclipse.tml.device/*,236476,Yufen Kuo(Montavista),3545,ffantato,provide a generic device plugin for various device types
org.eclipse.tml.vnc.*,247840,Daniel Franco(Eldorado),64,dbarboza,Mouse click not working
org.eclipse.tml.vnc.*,248663,Daniel Franco(Eldorado),55,dbarboza,Dependency between protocol and SWTRemoteDisplay
org.eclipse.tml.device.*,250290,Daniel Franco(Eldorado),8,dbarboza,org.eclipse.tml.service.start/plugin.xml contains a not valid extension
org.eclipse.tml.device.*,250644,Daniel Franco(Eldorado),95,dbarboza, Instance view keeps enabled buttons while performing a service.
org.eclipse.tml.device.*,251595,Fabio Rigo(Eldorado),4,dbarboza,Proportion of ticks in ServiceHandler class is not adequate
org.eclipse.tml.device.*,252261,Daniel Franco(Eldorado),17,dbarboza, Internal class MobileInstance providing functionalities.
org.eclipse.tml.vnc.*,257588,Daniel Franco(Eldorado),87,dbarboza,Add support to ServerCutText message
org.eclipse.tml.device.*,259153,Daniel Franco(Eldorado),45,dbarboza,TmL Start service launcher accessible by users.
org.eclipse.tml.device.*,259243,Daniel Franco(Eldorado),55,dbarboza,instance management view is showing device type ids instead of names

Third Party Dependencies,,,, 
none


EPL Content
name+version,ipzilla #, directory or jarfile,contributor name,usage
Device Emulator Framework component,1852,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.tml.emulator/?root=DSDP_Project&pathrev=branch_dsdp_tml_emulator_0_1_0,Motorola,Initial code (deprecated)
TM-based Device Emulator Framework,1853,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.tml.emulator/?root=DSDP_Project&pathrev=branch_dsdp_tml_emulator_0_2_0,Motorola,Initial code (deprecated)
VNC Viewer component for dsdp.tml initial,1854,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.tml.vnc/?root=DSDP_Project&pathrev=branch_dsdp_tml_vnc_0_1_0,Motorola, Initial code (deprecated)
VNC Viewer component for dsdp.tml initial,1854,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.tml.vnc/?root=DSDP_Project&pathrev=branch_dsdp_tml_vnc_0_2_0,Motorola,Initial code (deprecated)
VNC Viewer component for dsdp.tml initial,1854,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.tml.vnc/?root=DSDP_Project&pathrev=branch_dsdp_tml_vnc_0_3_0,Motorola, Initial code. All VNC viewer contribution were added into this version
Device Framework component,1855,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.tml.device/?root=DSDP_Project,Motorola,The 1852 and 1853 was replace by this CQ. Initial code. All device framework is based on that
VNC authentication and 16bit color depth,2261,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.tml.device/?root=DSDP_Project,Eugene(Montavista)This CQ was already approved in the past and it was integrated into the initial code approved in 226
Provide a generic device plugin for various device types,2842,http://dev.eclipse.org/viewcvs/index.cgi/org.eclipse.tml.device/?root=DSDP_Project,YuFen (Montavista),This CQ was already approved in the past and it was integrated into the device framework

Third Party Software
name+version,ipzilla #, directory or jarfile,license name and version,usage
none
